Name,SKU,Link,Price,Step File
"5203 Series Yellow Jacket Planetary Gear Motor (26.9:1 Ratio, 24mm Length 8mm REX™ Shaft, 223 RPM, 3.3 - 5V Encoder)",5203-2402-0027,https://www.gobilda.com/5203-series-yellow-jacket-planetary-gear-motor-26-9-1-ratio-24mm-length-8mm-rex-shaft-223-rpm-3-3-5v-encoder/,42.99,https://www.gobilda.com/content/step_files/5203-2402-0027.zip
"1120 Series U-Channel (6 Hole, 168mm Length)",1120-0006-0168,https://www.gobilda.com/1120-series-u-channel-6-hole-168mm-length/,8.99,https://www.gobilda.com/content/step_files/1120-0006-0168.zip
"5204 Series Yellow Jacket Planetary Gear Motor (26.9:1 Ratio, 80mm Length 8mm REX™ Shaft, 223 RPM, 3.3 - 5V Encoder)",5204-8002-0027,https://www.gobilda.com/5204-series-yellow-jacket-planetary-gear-motor-26-9-1-ratio-80mm-length-8mm-rex-shaft-223-rpm-3-3-5v-encoder/,44.99,https://www.gobilda.com/content/step_files/5204-8002-0027.zip
"5204 Series Yellow Jacket Planetary Gear Motor (19.2:1 Ratio, 80mm Length 8mm REX™ Shaft, 312 RPM, 3.3 - 5V Encoder)",5204-8002-0019,https://www.gobilda.com/5204-series-yellow-jacket-planetary-gear-motor-19-2-1-ratio-80mm-length-8mm-rex-shaft-312-rpm-3-3-5v-encoder/,44.99,https://www.gobilda.com/content/step_files/5204-8002-0019.zip
"5303 Series Saturn Planetary Gear Motor (71.2:1 Ratio, 24mm Length 8mm REX™ Shaft, 260 RPM, 3.3 - 5V Encoder)",5303-2402-0071,https://www.gobilda.com/5303-series-saturn-planetary-gear-motor-71-2-1-ratio-24mm-length-8mm-rex-shaft-260-rpm-3-3-5v-encoder/,57.99,https://www.gobilda.com/content/step_files/5303-2402-0071.zip
"5203 Series Yellow Jacket Planetary Gear Motor (50.9:1 Ratio, 24mm Length 8mm REX™ Shaft, 117 RPM, 3.3 - 5V Encoder)",5203-2402-0051,https://www.gobilda.com/5203-series-yellow-jacket-planetary-gear-motor-50-9-1-ratio-24mm-length-8mm-rex-shaft-117-rpm-3-3-5v-encoder/,42.99,https://www.gobilda.com/content/step_files/5203-2402-0051.zip
"1120 Series U-Channel (5 Hole, 144mm Length)",1120-0005-0144,https://www.gobilda.com/1120-series-u-channel-5-hole-144mm-length/,7.99,https://www.gobilda.com/content/step_files/1120-0005-0144.zip
"1143 Series Mini Low-Side U-Channel (10 Hole, 264mm Length)",1143-0010-0264,https://www.gobilda.com/1143-series-mini-low-side-u-channel-10-hole-264mm-length/,10.19,https://www.gobilda.com/content/step_files/1143-0010-0264.zip
"1120 Series U-Channel (4 Hole, 120mm Length)",1120-0004-0120,https://www.gobilda.com/1120-series-u-channel-4-hole-120mm-length/,6.99,https://www.gobilda.com/content/step_files/1120-0004-0120.zip
"5103 Series Planetary Gearbox (139:1 Ratio, 24mm Length 8mm REX™ Shaft)",5103-0024-0139,https://www.gobilda.com/5103-series-planetary-gearbox-139-1-ratio-24mm-length-8mm-rex-shaft/,34.99,N/A
"1102 Series Flat Beam (21 Hole, 168mm Length) - 2 Pack",1102-0021-0168,https://www.gobilda.com/1102-series-flat-beam-21-hole-168mm-length-2-pack/,4.49,https://www.gobilda.com/content/step_files/1102-0021-0168.zip
"1121 Series Low-Side U-Channel (10 Hole, 264mm Length)",1121-0010-0264,https://www.gobilda.com/1121-series-low-side-u-channel-10-hole-264mm-length/,11.99,https://www.gobilda.com/content/step_files/1121-0010-0264.zip
"1121 Series Low-Side U-Channel (8 Hole, 216mm Length)",1121-0008-0216,https://www.gobilda.com/1121-series-low-side-u-channel-8-hole-216mm-length/,9.99,https://www.gobilda.com/content/step_files/1121-0008-0216.zip
"5204 Series Yellow Jacket Planetary Gear Motor (50.9:1 Ratio, 80mm Length 8mm REX™ Shaft, 117 RPM, 3.3 - 5V Encoder)",5204-8002-0051,https://www.gobilda.com/5204-series-yellow-jacket-planetary-gear-motor-50-9-1-ratio-80mm-length-8mm-rex-shaft-117-rpm-3-3-5v-encoder/,44.99,https://www.gobilda.com/content/step_files/5204-8002-0051.zip
"1143 Series Mini Low-Side U-Channel (9 Hole, 240mm Length)",1143-0009-0240,https://www.gobilda.com/1143-series-mini-low-side-u-channel-9-hole-240mm-length/,9.39,https://www.gobilda.com/content/step_files/1143-0009-0240.zip
"5103 Series Planetary Gearbox (99.5:1 Ratio, 24mm Length 8mm REX™ Shaft)",5103-0024-0100,https://www.gobilda.com/5103-series-planetary-gearbox-99-5-1-ratio-24mm-length-8mm-rex-shaft/,34.99,N/A
"5303 Series Saturn Planetary Gear Motor (139:1 Ratio, 24mm Length 8mm REX™ Shaft, 130 RPM, 3.3 - 5V Encoder)",5303-2402-0139,https://www.gobilda.com/5303-series-saturn-planetary-gear-motor-139-1-ratio-24mm-length-8mm-rex-shaft-130-rpm-3-3-5v-encoder/,57.99,https://www.gobilda.com/content/step_files/5303-2402-0139.zip
"5203 Series Yellow Jacket Planetary Gear Motor (71.2:1 Ratio, 24mm Length 8mm REX™ Shaft, 84 RPM, 3.3 - 5V Encoder)",5203-2402-0071,https://www.gobilda.com/5203-series-yellow-jacket-planetary-gear-motor-71-2-1-ratio-24mm-length-8mm-rex-shaft-84-rpm-3-3-5v-encoder/,42.99,https://www.gobilda.com/content/step_files/5203-2402-0071.zip
"1120 Series U-Channel (3 Hole, 96mm Length)",1120-0003-0096,https://www.gobilda.com/1120-series-u-channel-3-hole-96mm-length/,5.99,https://www.gobilda.com/content/step_files/1120-0003-0096.zip
"1121 Series Low-Side U-Channel (7 Hole, 192mm Length)",1121-0007-0192,https://www.gobilda.com/1121-series-low-side-u-channel-7-hole-192mm-length/,8.99,https://www.gobilda.com/content/step_files/1121-0007-0192.zip
"5103 Series Planetary Gearbox (71.2:1 Ratio, 24mm Length 8mm REX™ Shaft)",5103-0024-0071,https://www.gobilda.com/5103-series-planetary-gearbox-71-2-1-ratio-24mm-length-8mm-rex-shaft/,34.99,N/A
"1120 Series U-Channel (2 Hole, 72mm Length)",1120-0002-0072,https://www.gobilda.com/1120-series-u-channel-2-hole-72mm-length/,4.99,https://www.gobilda.com/content/step_files/1120-0002-0072.zip
"5303 Series Saturn Planetary Gear Motor (99.5:1 Ratio, 24mm Length 8mm REX™ Shaft, 180 RPM, 3.3 - 5V Encoder)",5303-2402-0100,https://www.gobilda.com/5303-series-saturn-planetary-gear-motor-99-5-1-ratio-24mm-length-8mm-rex-shaft-180-rpm-3-3-5v-encoder/,57.99,https://www.gobilda.com/content/step_files/5303-2402-0100.zip
"5103 Series Planetary Gearbox (50.9:1 Ratio, 24mm Length 8mm REX™ Shaft)",5103-0024-0051,https://www.gobilda.com/5103-series-planetary-gearbox-50-9-1-ratio-24mm-length-8mm-rex-shaft/,34.99,N/A
"5204 Series Yellow Jacket Planetary Gear Motor (71.2:1 Ratio, 80mm Length 8mm REX Shaft, 84 RPM, 3.3 - 5V Encoder)",5204-8002-0071,https://www.gobilda.com/5204-series-yellow-jacket-planetary-gear-motor-71-2-1-ratio-80mm-length-8mm-rex-shaft-84-rpm-3-3-5v-encoder/,44.99,https://www.gobilda.com/content/step_files/5204-8002-0071.zip
"1102 Series Flat Beam (19 Hole, 152mm Length) - 2 Pack",1102-0019-0152,https://www.gobilda.com/1102-series-flat-beam-19-hole-152mm-length-2-pack/,4.29,https://www.gobilda.com/content/step_files/1102-0019-0152.zip
"5303 Series Saturn Planetary Gear Motor (188:1 Ratio, 24mm Length 8mm REX™ Shaft, 100 RPM, 3.3 - 5V Encoder)",5303-2402-0188,https://www.gobilda.com/5303-series-saturn-planetary-gear-motor-188-1-ratio-24mm-length-8mm-rex-shaft-100-rpm-3-3-5v-encoder/,57.99,https://www.gobilda.com/content/step_files/5303-2402-0188.zip
"1121 Series Low-Side U-Channel (6 Hole, 168mm Length)",1121-0006-0168,https://www.gobilda.com/1121-series-low-side-u-channel-6-hole-168mm-length/,7.99,https://www.gobilda.com/content/step_files/1121-0006-0168.zip
"5203 Series Yellow Jacket Planetary Gear Motor (99.5:1 Ratio, 24mm Length 8mm REX™ Shaft, 60 RPM, 3.3 - 5V Encoder)",5203-2402-0100,https://www.gobilda.com/5203-series-yellow-jacket-planetary-gear-motor-99-5-1-ratio-24mm-length-8mm-rex-shaft-60-rpm-3-3-5v-encoder/,42.99,https://www.gobilda.com/content/step_files/5203-2402-0100.zip
"1143 Series Mini Low-Side U-Channel (7 Hole, 192mm Length)",1143-0007-0192,https://www.gobilda.com/1143-series-mini-low-side-u-channel-7-hole-192mm-length/,7.79,https://www.gobilda.com/content/step_files/1143-0007-0192.zip
